NPS	OutSide Diameter (mm)	Sch 5S	Sch 10S	Sch 40S	Sch 80S
0.125	10.3		1.24	1.73	2.41
0.25	13.7		1.65	2.24	3.02
0.375	17.1		1.65	2.31	3.2
0.5	21.3	1.65	2.11	2.77	3.73
0.75	26.7	1.65	2.11	2.87	3.91
1	33.4	1.65	2.77	3.38	4.55
1.25	42.2	1.65	2.77	3.56	4.85
1.5	48.3	1.65	2.77	3.68	5.08
2	60.3	1.65	2.77	3.91	5.54
2.5	73	2.11	3.05	5.16	7.01
3	88.9	2.11	3.05	5.49	7.62
3.5	101.6	2.11	3.05	5.74	8.08
4	114.3	2.11	3.05	6.02	8.56
5	141.3	2.77	3.4	6.55	9.53
6	168.3	2.77	3.4	7.11	10.97
8	219.1	2.77	3.76	8.18	12.7
10	273.1	3.4	4.19	9.27	12.7
12	323.9	3.96	4.57	9.53	12.7
14	355.6	3.96	4.78	9.53	12.7
16	406.4	4.19	4.78	9.53	12.7
18	457	4.19	4.78	9.53	12.7
20	508	4.78	5.54	9.53	12.7
22	559	4.78	5.54		
24	610	5.54	6.35	9.53	12.7
26	660				
28	711				
30	762	6.35	7.92		
